Sequence,Facility ID
1010,01339008.0221700
1020,01339008.0221761
1030,01339008.0221703
1040,01339008.0221702
1050,01339008.0221701
1060,01339008.0221760
1070,01339008.0221604
1080,01339008.0221660
1090,01339008.0221560
1380,01339008.0220560
1390,01339008.0220506
1400,01339008.0220500
1410,01339008.0220507
1420,01339008.0219501
1430,01339008.0219502
1440,01339008.0219500
1450,01339008.0220460
1460,01339008.0220400
1470,01339008.0220404
1480,01339008.0220461
1490,01339008.0220361
1500,01339008.0220360
1510,01339008.0220304
1520,01339008.0220305
1530,01339008.0220300
1540,01339008.0219300
1550,01339008.0220260
1560,01339008.0220200
1570,01339008.0220201
1580,01339008.0220202
1590,01339008.0220261
1600,01339008.0220204
1610,01339008.0220203
1620,01339008.0221200
1630,01339008.0221201
1640,01339008.0220104
1650,01339008.0220160
1660,01339008.0220106
1670,01339008.0220060
1680,01339008.0220061
1690,01339008.0270960
1700,01339008.0270900
1710,01339008.0270800
1720,01339008.0289960
1730,01339008.0289861
1740,01339008.0289860
1750,01339008.0288760
1760,01339008.0287660
1770,01339008.0287560
1780,01339008.0286561
